Candidate,Healthcare,Criminal Justice Reform,Taxes and Economics,Immigration,The Climate Crisis,Identity and Social Justice,Education,Business and Tech Regulation,Family Issues,Foreign Policy,Guns,Reproductive Rights,Government Reform and Anti-Corruption,Poverty and Inequality,Housing,Voting Rights,Reparations
Kamala Harris,"In July, Harris unveiled her 2020 health care proposal in a Medium post titled, “My Plan for Medicare for All.” The plan calls for the expansion of the current Medicare system while allowing “private insurers to offer Medicare plans as a part of this system that adhere to strict Medicare requirements on costs and benefits.” Harris’ plan sets the U.S. on track to adopt a Medicare-for-All-style system in 10 years.","Harris’ record as prosecutor, district attorney, and the attorney general of California, a position she held from 2011-2017, has come under intense scrutiny as she has rolled out her presidential campaign. Though she did embrace many progressive measures as San Francisco’s DA and then as the state’s AG, she also started an anti-truancy program aimed at punishing parents whose children missed school, tried to prevent the release of prisoners despite an overcrowding problem, and supported the death penalty.",,"Harris has said we should “re-examine” the role of U.S. Immigration and Customs Enforcement (ICE), suggesting that it could be time to scrap the agency. Harris has been criticized, however, for supporting a policy that turned over arrested undocumented youth to ICE when she was the San Francisco district attorney.","Harris has a strong record on climate action — including sponsoring a bill that would give grants to coastal communities to prepare for sea-level rise and, when she was California’s attorney general, investigating ExxonMobil for its reported lies about the risks of climate change.","Harris has released what her website describes as the “most aggressive equal pay proposal in history.” The plan calls for companies to obtain “Equal Pay Certification,” which involves proving through various means that they are not giving preferential treatment to men over women in regard to pay, promotions, and more.","In April, Harris wrote on Medium that she was co-sponsoring the College For All Act, which eliminates tuition and fees for public colleges and universities for 80 percent of Americans (those earning less than $125,000 per year).",,Harris said during a CNN town hall event in January that she “absolutely” supports a nationwide paid parental-leave policy.,"The senator has come under scrutiny from the more progressive wing of the party for her cozy relationship with Israel, and her failure to publicly condemn the nation’s human rights abuses against Palestinians.","In April, Harris said that if Congress does not enact meaningful gun legislation within her first 100 days in office, she would take executive action to bring about several gun control measures.","In May, Harris unveiled a plan to institute what she calls the Reproductive Rights Act, which would prevent states “with a history of violating Roe v. Wade” from enacting abortion-restricting laws without first clearing the legislation with the Justice Department.",,"Harris wants to focus on offering relief for the lower and middle classes. She’s unveiled a nearly $3 trillion plan that would provide a tax credit of $3,000 for single Americans making up to $30,000 annually and $6,000 for married couples making up to $60,000.","In April, Harris reintroduced to the Senate her Rent Relief Act, a bill aimed at combating rising rent costs by offering a refundable tax credit to Americans making less than $100,000 a year who spending at least 30 percent of their income on rent and utilities.","Harris has called for the need to “update and reinvigorate” the Voting Rights Act, and tweeted the need for legislation to expand early voting, modernize voting systems and curb the effect of discriminatory voting laws.","Harris has said that the idea of reparations needs to be considered. In March, she spoke to NPR about the generational effects of slavery — including how African Americans have higher rates of heart disease and high blood pressure — suggesting reparations could come in the form of mental health treatment."
Jay Inslee,"Inslee has yet to take a firm position specifically on Medicare-for-All. He supports universal health care and, as governor of Washington state, signed a bill creating a public option and expanded Medicaid access, leading to nearly 630,000 adults and children getting covered.","As governor of Washington, Inslee launched a “Marijuana Justice Initiative” to offer pardons to people who’ve been convicted for a single marijuana possession misdemeanor between from 1998 to 2012. Inslee’s office said the policy could affect as many as 3,500 people. Inslee is also opposed to the death penalty.",,"Inslee was the first governor to announce that he’d welcome Syrian refugees, and Washington was the first state to sue Trump to stop the Muslim travel ban. In May, Inslee unveiled his “America’s Promise” plan to overhaul the immigration system. In it, Inslee promises to do away with Trump’s border wall, end the Muslim ban and protect Deferred Action for Childhood Arrivals (DACA) within the first 100 days of his presidency. The plan also calls for accepting more refugees; restoring aid to Guatemala, Honduras, and El Salvador; and revamping the immigration system “so it is humane, just, and efficient, centered on a pathway to citizenship for undocumented immigrants and expedited eligibility for DREAMers.”","Climate change is Inslee’s signature issue, and, more than that, the central organizing principle of his 2020 run for president. Inslee would recommit the U.S. to the Paris climate accord and praises the idea of a Green New Deal. But his policy ideas go further. Inslee released the first plank of his sprawling plan to tackle the global climate crisis in May, providing a detailed roadmap for quickly getting to 100 percent clean energy in America — in homes, cars and trucks, and electricity generation. He has also proposed establishing a 10-year, $9 trillion investment plan that includes the establishment of a “Climate Conservation Corps” to hire young Americans to build the clean energy economy by retrofitting buildings, installing rooftop solar, and more; being more proactive in collaborating with the international community to find solutions; and transitioning the economy off of its reliance on fossil fuels, an ambitious plan that involves ending all fossil fuel subsidies.",,"Inslee has yet to release a 2020 plan on higher education affordability, but he is poised to sign legislation in Washington state that would use a tax on tech companies to make two- and four-year public college nearly free for students coming from middle-class background.",,,"Inslee’s foreign policy views, to the extent he has them, tend to emphasize the need for international cooperation to combat the climate crisis. In 2017, he helped launch the U.S. Climate Alliance, a coalition of governors and mayors who came together to show the rest of the world that, despite Trump’s actions, many Americans are still committed to fighting climate change. As a congressman in the early 2000s, he voted against the Iraq war.","Inslee has yet to release a gun control plan as part of his campaign, but he recently signed several bills to ban 3D-printed “ghost guns,” close gun-sale loopholes, and strengthen Washington’s background-check process. He called out Trump to his face, at a televised White House meeting, for suggesting that teachers arm themselves to defend against active shooters, an idea opposed by many teachers: “We need a little less tweeting, a little more listening.”","As governor, Inslee signed into law the nation’s first reproductive parity law that requires nearly all insurance plans in Washington state to cover the cost of reproductive health care.",Inslee pledged not to accept any donations tied to the fossil fuel industry and has refused any corporate PAC money. He’s faced criticism from reform groups for not disavowing a single-candidate Super PAC devoted to helping his campaign.,"As governor of Washington, Inslee proposed a new state-level capital gains tax on the sale of stocks and bonds as well as business tax on companies that sell software as a service. Inslee’s administration estimated that the two proposals would generate $3.5 billion in revenue in the next few years, and that money would pay for revamping the state’s behavioral health system, protecting endangered orcas, environmental initiatives, and education investments. Inslee also supported legislation to raise Washington’s minimum wage to $12 per hour.",,"On the campaign trail, Inslee has called for an end to gerrymandering. In 2018, he signed bills to allow people to register to vote up to and on Election Day, to make voter registration automatic when you renew your driver’s license, and to allow 16- and 17-year-olds to pre-register to vote.","“I think that we have a history in this country that we need to remedy,” Inslee told PBS in March. He supports broader policies to end intergenerational poverty and mass incarceration but has yet to announce a specific plan on the topic of reparations."
Amy Klobuchar,"Klobuchar sees Medicare-for-All as a “possibility in the future,” but says she’s focused on more immediately achievable results. The Minnesota senator feels the path to universal health care begins by expanding the Affordable Care Act to include a public option — specifically allowing insurance customers on state exchanges to buy into Medicaid, the program that currently serves the disadvantaged.","A former prosecutor who declined to file charges against nearly two dozen officers who killed suspects, Klobuchar wrote in an op-ed for CNN that “we have finally started to acknowledge that there is racism in our criminal justice system and that we need to take action to fight it.” She has proposed creating a federal clemency advisory board, and appointing a White House post, outside of the Department of Justice, to shape policies on criminal justice reform.",,"Klobuchar supports a pathway to citizenship for most undocumented immigrants and an increase in legal immigration. She calls for reform, rather than abolition, of ICE.","Klobuchar co-sponsored the Green New Deal as an “aspiration,” calling it “a framework to jump-start a discussion.” She pledges a restoration of Obama-era climate policies, including rejoining the Paris climate accord on Day One and restoring the Clean Power Plan and Obama’s fuel-efficiency standards for vehicles. She’s also called for “sweeping legislation” for green buildings. She has said that within her first 100 days in office she will introduce climate legislation that will put the United States on a path to net zero carbon emissions by 2050.",,"Klobuchar does not support free public-college tuition, suggesting that it would take a “magic genie” to be able to afford such a policy. Klobuchar does support free community college, better refinancing options for student debt, and an expansion of Pell grants.",,"Klobuchar is a co-sponsor of the American Family Act, which would send parents as much as $300 per month, per child, to defray the costs of raising a family. Klobuchar has been a vocal proponent of family-leave policies, but her own office’s policy called for women to repay the leave benefits they used.",Klobuchar has decried Trump’s “foreign policy by tweet.” She voted with Republicans in a resolution of disapproval when Trump announced a precipitous withdrawal of American troops from Syria and Afghanistan.,"Klobuchar supports an assault weapons ban, universal background checks, and closing the “boyfriend loophole,” which allows some domestic abusers to purchase guns so long as they were not married to the victim. She has said she balances her support of gun control against the interests of her sportsmen relatives.","Klobuchar has said she’d seek to codify Roe v. Wade in law if it were overturned by the Supreme Court, and has called the slate of anti-abortion legislation in states like Alabama and Georgia “a violation of civil rights.” In the past, Klobuchar has spoken of seeking “common ground” on abortions, “making them safe and making them rare.”",,Klobuchar wants to raise the corporate income tax from its Trump-tax-cut low of 21 percent to 25 percent as part of a plan to pay for a $650 billion infrastructure package. Klobuchar has also said that she will increase the minimum wage for federal contractors to $15 per hour within her first 100 days in office.,,"Klobuchar supports federal, automatic voter registration at age 18, a reform she says could create 22 million new voters. She has also emphasized the role of state governments in expanding voting rights.","Klobuchar has called for investment in communities hurt by racism but insisted, “it doesn’t have to be a direct pay for each person.”"
Wayne Messam,"Messam has said he supports the idea of Medicare-for-All, and is open to a system that retains the private insurance industry. “As President, I will be open to ideas to fix a broken system that right now does more to protect the bottom line of insurance and pharmaceutical companies than protecting patients,” his website reads.",,,"Messam has said that America’s immigration system needs to be overhauled. “Washington had failed the American people when it comes to immigration,” he told CBS in April, adding that “when we have a process and a political will in place to ensure comprehensive immigration reform, we will be able to subside some of the issues that we are currently seeing right now.”","Messam told the Washington Post that he supports “the urgency and the end goal” of the Green New Deal, but has said that he will unveil his own climate policy. He was also one of 407 mayors to sign a pledge to uphold the principles of the Paris climate accord despite President Trump’s decision to remove the United States from the agreement.",,"The tentpole of Messam’s campaign is his proposal to cancel all $1.5 trillion of outstanding student loan debt. Messam’s plan calls for all 44 million Americans with outstanding student loan debt to be informed of its relief within 60 days. The United States Treasury would pay off the debt. Messam argues that lifting this economic burden off tens of millions of Americans would outweigh the financial cost to the nation, which he says would ultimately be paid for by canceling the Trump’s tax cut for the wealthy that was passed in 2017.",,,"Though he hasn’t offered many specifics, Messam has said that “we need to change course, rebuild our fractured alliances and lead by example” on the global stage. He has also advocated for a two-state solution to the conflict between Israel and Palestine.","Messam has been strong on gun safety, and has often cited the shooting at Parkland, which is less than 50 miles away from his home of Miramar, in calling for reform. His goals as president are pretty ambitious: “It will be my goal as your President to cut gun deaths in half by the end of my first term, with the goal to eliminate this threat entirely by the end of my presidency,” his website reads.","“As President, I will vigorously defend the a woman’s right to choose and nominate a @USSupremeCourt justice that recognizes his question became settled law in 1973,” Messam tweeted in May.",,Messam has proposed canceling the Trump administration’s 2017 tax cut for the wealthy. He tweeted in June that all Americans “should earn a wage that allows them to meet their basic needs.”,,"“Across this country, voting rights are under attack as politicians create barriers that make it harder for people to register to vote and cast their ballots, cut back early voting, and engage in unconstitutional acts of voter suppression,” Messam’s website reads, adding that “we must protect Americans’ right to vote regardless of economic and societal status — not limit participation in the democratic process and discriminate against our own people.”",
Seth Moulton,"Moulton does not support Medicare-for-All. Instead, he had advocated for strengthening the Affordable Care Act with a “modern public option” that will allow it to compete with the private insurance industry. Moulton has placed a premium on mental health care, especially for veterans. He has called for the funding of yearly mental health screenings for every high schooler in America, establishing a national mental health crisis hotline, and making mental health check-ups routine both for veterans and active-duty service members.",,,,"Moulton signed on as a co-sponsor of the Green New Deal in February. A month later, he wrote an op-ed for the Des Moines Register arguing that the legislation should be focused on creating jobs. Moulton has also indicated that he supports the idea of a climate change-focused primary debate.","In June, Moutlon unveiled a plan to review and upgrade service members who were less-than-honorably discharged because of sexual orientation or “homosexual activity.”","Moulton has unveiled a national service initiative that would give Americans aged 17 to 24 an education benefit based on how many years they dedicate to national service. A one-year commitment would provide a benefit equal to 60 percent of the cost of tuition to an in-state public university (or job benefit training of up to $14,000). A two-year commitment would provide a benefit of 80 percent (or $19,000). A three-year commitment would provide a benefit of 100 percent (or $24,000). The plan also calls for the creation of a Federal Green Corps to combat climate change, and would make the administrator of the National and Community Service Administration a Cabinet-level position.",,,"Moulton has made national security a focus of his campaign, calling for smarter investment in the military, including “dramatically increasing our investment in autonomous, hypersonic, and cyber weapons — and continuing to invest in basic scientific research, education, and immigration.” He has also called for the creation of a Pacific NATO to combat growing threats from China and Russia.","Moulton, an Iraq veteran, has long been a vocal proponent of stricter gun laws, and has introduced multiple gun control bills to the House. He has called for several measures, including universal background checks, as well as banning 3D-printed guns and military-style assault rifles.","“We are currently in the midst of the most aggressive attack on women’s rights in decades,” Moulton tweeted in May. “If elected, I’m committed to only nominating judges who would uphold Roe v. Wade. I’m calling on all Democratic candidates to do the same.”",,"Moulton derided Trump’s 2017 tax cut for the wealthy and has advocated for tax reform. “It’s not fair that people on Wall Street are paying lower tax rates than people who have hard-working jobs, working two or three jobs,” he said in May on MSNBC, going on to say that he wants to “equalize rates.” Moulton has also derided the wealth tax proposed by Elizabeth Warren.",,"Moulton has called for a New Voting Rights Act that would include automatic voter registration, abolishing the Electoral College, giving statehood to Washington D.C., and Puerto Rico, making Election Day a national holiday, restoring voting rights to felons who have served time and more.",
Beto O'Rourke,"O’Rourke says he is for universal health care but he’s equivocated about Medicare-for-All specifically — supporting the measure when he was running for Senate in Texas, but distancing himself since launching his bid for president.","While campaigning for Senate, O’Rourke called for ending mandatory minimums for minor drug offenses, ending cash bail, and stopping the use of private prisons",,"O’Rourke has made immigration on of his signature issues. The El Paso native has pledged to dismantle the Trump administration’s “cruel and cynical” policies through a series of executive actions: rescinding the travel ban, ending family separation, halting work on the border wall, requiring detention only for immigrants with criminal backgrounds, eliminating funding for for-profit detention centers, increasing refugee resettlement efforts, working toward a permanent legislative solution for individuals with DACA or Temporary Protected Status, and overhauling the asylum system. O’Rourke, who has also committed to cracking down on smugglers and traffickers, says he supports the Bush-era law that criminalizes border crossings on the grounds that there needs to be a “legal mechanism” to hold coyotes legally responsible for their actions.","O’Rourke was one of the first in the Democratic field to release a detailed plan to address the climate crisis. His proposal calls for net-zero emissions by 2050, a recommitment to the Paris Agreement, and an investment of $1.5 trillion (designed to stimulate additional spending of $5 trillion over 10 years) in clean-energy research and infrastructure improvements in the communities that will bear the brunt of climate change.",,"“I am not for free college for all,” O’Rourke has said. Instead, he’s proposed refinancing at lower rates the estimated $1.5 trillion in American student debt, and discussed the possibility of expanding the government’s troubled Public Service Loan Forgiveness program that is supposed to wipe out debt in exchange for public service.",,,"O’Rourke says Trump has “made a mess of our foreign policy,” but he hasn’t offered details on what his own foreign policy would look like.  ","O’Rourke — who has spoken of owning guns himself and teaching his children how to use them — supports universal background checks, magazine limits, and restrictions on some semiautomatic weapons, including America’s most popular rifle, the AR-15, which he’s called “a weapon of war designed for the sole purpose of taking lives.”","O’Rourke has said he would appoint an attorney general who would prioritize protecting reproductive rights, and he would reverse the Trump administration’s “gag rule” banning doctors who work in offices or clinics that accept federal funding from speaking about abortion. He supports ending the Hyde Amendment, which prevents federal funding from being used for abortions except in extreme cases like rape and incest, and increasing funding for Title X, the federal family planning program. He’s expressed a commitment to appointing judges who would uphold Roe v. Wade, and said he would encourage the passage of federal legislation codifying Roe’s protections, as well as legislation prohibiting abortion restrictions on private insurance.","As he did during his fundraising record-shattering bid for Senate, O’Rourke has sworn off donations from political action committees. He’s also officially laid out a detailed list of policy prescriptions intended to get money out of politics. Among the items on that laundry list: banning PAC contributions to all campaigns; limiting individual contributions to $2,000; making political contributions tax deductible; requiring public companies, large private companies, and all government contractors to disclose all political contributions and federal lobbying efforts; requiring disclosure within 48 hours for any donations of $1,000 or more; prohibiting U.S. companies with substantial foreign ownership from donating to campaigns; and imposing limits on how much can be contributed to a political party. O’Rourke has also sworn-off donations from the oil, gas, and coal industries and their executives after sustained pressure from environmental activists.","On the campaign trail, O’Rourke has voiced support for Elizabeth Warren’s wealth tax, giving a somewhat tortured explanation for why. “Both for reasons of generating the revenue that we need and reasons to achieve the political democracy by having an economic democracy, some part of that wealth that has been built up, and continues to be built up, and receives favorable preferential treatment in the tax code, must be taxed for our common benefit,” he said, adding that the revenue could be used to finance infrastructure projects and health care policies.",,"On his campaign website, O’Rourke describes a plan to register 50 million new voters, institute automatic registration, same day-registration, early voting, and vote-by-mail in all 50 states, and calls on Congress to make Election Day a national holiday. He also wants to amend Section 2 of the Voting Rights Act ”to make clear that even seemingly race-neutral election regulations are unlawful when they result in disproportionate impact on racial minorities,” and make the protection of voting rights a priority in his Justice Department.",O’Rourke reiterated his support for reparations in a July Medium essay in which he reckoned with the realization that he and his wife are descended from people who owned slaves. 
Tim Ryan,Ryan is a co-sponsor of the Medicare-for-All legislation introduced to the House of Representatives in February.,"A co-chair of the House Addiction, Treatment and Recovery Caucus, he co-sponsored the Marijuana Justice Act that would remove weed from the list of Schedule I drugs; get rid of criminal penalties for people who import, export, transport and sell marijuana; and set aside $500 million to invest in building up the marijuana growing and selling industries. He believes every police officer should wear a body camera, and voted in favor of the First Step Act.",,"Ryan has yet to roll out an immigration plan as part of his 2020 campaign. As a congressman, he said the U.S. immigration system is “broken,” slammed Trump’s national emergency order regarding the U.S.-Mexico border, and introduced a bill to create a nonpartisan, nine-person commission to come up with better immigration policies and border security measures.","Ryan said in an April interview that his first priority as president would be creating a new U.S industrial policy, and that addressing the climate crisis must be a part of that policy. Ryan also supports re-entering the Paris climate accord.",,"Ryan supported a suite of bills in 2018 that would ensure debt-free and tuition-free public college. Regarding education, he has devoted time as a presidential candidate to focusing on a push for the integration of Social and Emotional Learning into the education system.",,,"Foreign policy isn’t a focus of Ryan’s message, but he has called for tougher tax and trade policies so that the U.S. can better compete with China.","Ryan used to have an A rating from the NRA, but he distanced himself from the gun lobbying group after the 2012 Sandy Hook mass shooting and is now a vocal proponent of universal background checks, reinstating federal funding for gun-violence research, and raising the age limit on certain gun purchases.",Ryan switched his position from anti-abortion to pro-choice in 2015.,,"Ryan has attacked Trump’s 2017 tax cut for the wealthy as a “scam” and “trickle-down” economics. As a candidate he’s called for rewriting the tax code to spur the growth of electric car and solar panel manufacturing. Ryan’s campaign has focused on dealing with the hollowing out of the manufacturing industry, which he has experienced firsthand in Congress — Lordstown, Ohio, where a major GM plant recently shut down, is in his district. He sees electric cars and renewable energy as the future where the traditional manufacturing industry is failing. Ryan has also called for a general raise in wages through a $15 national minimum wage.",,"As a congressman, Ryan has opposed efforts to restrict people’s right to vote. He calls voting rights “a cornerstone of our democracy.”","Ryan is a co-sponsor of H.R. 40, a bill that would create a commission to study and develop reparation proposals for African Americans. Such a commission would “help us understand exactly what the numbers are that we’re talking about,” he said in an interview on the Breakfast Club."
Bernie Sanders,"Sanders is the author of Medicare-for-All legislation in the Senate. His bill would transform Medicare into cradle-to-grave insurance coverage for all American residents, financed by taxes, so there would be no fees at doctors offices, emergency rooms, or hospitals.","Sanders voted for the 1994 Crime Bill, placing him in company with Joe Biden. Today he wants to end the drug war, including by legalizing marijuana. Sanders also seeks to end cash bail, mandatory minimums, private prisons, and the death penalty.","Sanders is targeting the wealth of America’s oligarchs, and has proposed hiking the estate tax to 77 percent on the fortunes of the very wealthiest, aiming to raise “$2.2 trillion from the nation’s 588 billionaires,” including $74 billion from the Koch brothers alone.","Sanders speaks about immigration in more conservative terms than some 2020 competitors. “What we need is comprehensive immigration reform,” he said stumping in Iowa. “If you open the borders, my God, there’s a lot of poverty in this world, and you’re going to have people from all over the world. And I don’t think that’s something that we can do at this point. Can’t do it. So that is not my position.”","Sanders’ campaign has not released a detailed climate policy, but he was a co-sponsor of the Green New Deal resolution released by Rep. Alexandria Ocasio-Cortez and Sen. Ed Markey — an ambitious, comprehensive approach to the climate crisis that encompasses not just getting to net-zero carbon emissions but investing in job creation, infrastructure and protecting the frontline communities hardest hit by climate change.",,"Sanders pushed the call for free college to the fore in his 2016 campaign, and continues to champion the policy in 2020. He has called for free public college tuition, with the federal government covering 67 percent of this cost and states the remaining 33 percent.",,"In addition to calling for universal pre-K, Sanders wants universal child care.","Sanders’ rhetoric on foreign policy has often mirrored his domestic priorities, condemning the power of corporate multinationals and oligarchic concentrations of wealth. His record leans toward an anti-interventionist stance — he voted against the Iraq war and more recently did not support ousting Venezuelan dictator Nicolas Maduro.","Sanders has been slow to evolve on gun control. He voted for the NRA-backed 2005 bill that made most gun makers immune from accountability for misuse of their weapons, sparking the reckless marketing of military-style weapons.","In addition to calling for universal pre-K, Sanders wants universal child care. He opposes the Hyde Amendment, which prohibits federal spending on most abortions, limiting access for women on Medicaid, in particular.",,"Sanders uses a Wall Street transaction tax to fund free college. With Rep. Alexandria Ocasio-Cortez, Sanders also has a proposal to cap all interest rates for credit cards and other consumer lenders at 15 percent.",,"Sanders seeks to re-enfranchise people with felony records, including those currently behind bars. He’d abolish Voter ID laws, “restore” the Voting Rights Act, create automatic voter registration at the federal level for all Americans over 18, and make Election Day a national holiday.","Sanders, who is not given to fiscal conservatism, has balked at reparations for slavery, telling The View: “I think that right now our job is to address the crises facing the American people in our communities. And I think there are better ways to do that than just writing out a check.”"
Joe Sestak,"Sestak credits federal investments in research and the care provided by the Veterans Health Administration with his daughter’s remission from cancer. So much so that he proposes making the US health care system look a lot more like the VHA.Sestak believes single-payer insurance is a good idea in theory but understands not all Americans agree with him. Therefore, he has a plan to convince the public that it would be better off under a government-sponsored plan, and that maybe it would be better off receiving care from government-employed physicians.",,,He supports a path to citizenship for undocumented immigrants but has not endorsed the sort of substantial changes to immigration enforcement that former Housing and Urban Development Secretary Julián Castro calls for.,"He wants to end fossil fuel subsidies but has not gone so far as to say fossil fuel companies should be forced to pay for efforts to stop climate change, like Sen. Kirsten Gillibrand has proposed.",,He supports universal pre-K and wants to make college more affordable (in part by offering what he calls “profit-free loans”) but has not called for universal loan forgiveness like Sens. Warren and Bernie Sanders have.,,,"While Sestak isn’t the only candidate who has military experience, he is the highest-ranking retired officer among the veterans. And he believes his experience fighting in recent wars and leading international coalitions — as he did during the war in Afghanistan — gives him the experience needed to lead the US and to combat adversaries abroad.",,,,,,,
Tom Steyer,"In a 2018 speech, Steyer said he supported “opening Medicare to all who want it.” Steyer told the Atlantic in 2017 that he was in favor of a single-payer health care system similar to the one proposed by Sen. Bernie Sanders, I-Vt.",,,"As the migrant crisis at the southern border ramped up last year, Steyer donated $1 million to legal aid groups working to assist immigrants facing deportation. He said it was vital that legal services for immigrants seeking assistance “be expanded and strengthened” until the U.S. was able to address the issue in “a comprehensive and humane way.” On its website, NextGen America states that a system that profits off of immigrants’ labor without offering them a path to citizenship is “inherently unjust.”","Steyer created NextGen Climate Action (now NextGen America), a political action committee and advocacy group dedicated to combating climate change. Steyer started putting his money toward various environmental causes, such as setting up a $2 million relief fund for victims of extreme weather events. He also divested from coal projects as part of his focus on renewable energy.",,,,,"The billionaire environmentalist hasn’t made foreign policy a central part of his platform. But he has criticized Trump for “turning allies into enemies.” In his campaign to impeach Trump, Steyer released an ad lambasting the president for taking money from foreign governments. He has argued that the Mueller report provides evidence that Trump obstructed justice by interfering in the special counsel’s investigation.","On gun violence, NextGen America partnered with Everytown For Gun Safety to organize a voter drive for high school students following the 2018 shooting that killed 17 people at Marjory Stoneman Douglas High School in Florida. “If [Trump] won’t enact the kind of reform necessary to protect our children, that’s just another reason he’s got to go,” Steyer said in a Facebook announcement at the time, calling for young voters to push for “gun reform now.”","Steyer is pro-choice, and made a point of saying so at the Netroots Nation conference in 2017, when he vowed his NextGen America group would not “work for a single candidate who is not pro-choice.”","In his campaign announcement, Steyer said he wanted to “take the corporate control out of politics,” adding that if corporations have an “unlimited ability to participate in politics, it will skew everything because they only care about profits.”","Steyer supports raising the minimum wage, and lists “the right to a living wage” as one of the “5 Rights” all Americans should have. He previously put money toward a carbon tax proposal in the state of Oregon, but has said that talking about “jobs and health” is a more effective way of getting voters to take interest in climate issues.",,,
Elizabeth Warren,Warren has voiced support for the idea of Medicare-for-All,"In June, Warren released a plan to ban private prisons, stop contractors from marking up prices on commissary goods, and install an independent Prison Conditions Monitor inside Department of Justice’s Office of the Inspector General.","Warren has the most aggressive tax-the-rich proposal in the field. Under her “Ultra-Millionaire” wealth tax, households with a net worth of more than $50 million would be taxed 2 percent on every dollar of net worth above $50 million, and a 3 percent on every dollar of net worth above $1 billion.","In July, she delivered by unveiling a sweeping plan that includes “remaking” ICE and Customs and Border Protection; allowing more refugees into the United States; ending the abuse of migrants and reducing detention; and decriminalizing border crossings.","Warren’s “Green Manufacturing Plan” takes inspiration from both the Apollo program and the Marshall Plan to “develop, manufacture, and export the technology the world needs to confront the existential threat of climate change.”",,"Arguing that crushing student loan debt is reducing rates of homeownership, discouraging people from starting businesses, and forcing students to drop out before graduating, Warren has declared that she would cancel up to $50,000 in student-loan debt for 42 million Americans, almost completely wiping out educational debt for three-quarters of the country’s borrowers.","In March, Warren released a plan to break up Facebook, Google, and Amazon, companies she argues have “too much power over our economy, our society, and our democracy.”","Warren introduced the Universal Child Care and Early Learning Act in June. Among other provisions, it would ensure that no family pays more than seven percent of their income for child care, create a federally funded network of child care centers, and guarantee day care workers were paid on par with public school teachers.","Last fall, before officially declaring her candidacy, Warren outlined in broad strokes her vision for a progressive foreign policy in an op-ed in Foreign Affairs. Among other goals, Warren emphasized the importance of ensuring trade negotiations are “used to curtail the power of multinational monopolies and crack down on tax havens,” of making “honest assessments of the full costs and risks associated with going to war,” and of committing to “reprioritize diplomacy and reinvest in the State Department and the development agencies.”","After the August shootings that left 31 dead in El Paso and Dayton, however, Warren unveiled a wide-ranging plan aimed at reducing gun violence by 80 percent.","Warren has issued a Congressional call to action to protect reproductive rights. She proposes ending the Hyde Amendment and for federal laws that would enshrine the protections of Roe v. Wade no matter what state you live in. In the same proposal, she calls for repealing the Trump administration’s gag rule that bars certain physicians from discussing abortion with their patients, and for an increase in funding for Title X, the federal government’s family planning programs.",Warren announced early on in her campaign that she would not court or accept contributions from big-money donors — a decision that ultimately resulted in her finance director quitting the campaign.,"Warren released a plan to invest in rural America. The plan calls for increased government investment in rural communities, including creating a “public option for broadband”; strengthening health care and economic security; and breaking up the agribusiness corporations that have been crippling smaller farmers for years.","Warren’s housing plan is built around the American Housing and Economic Mobility Act, which she initially introduced to the Senate in 2018. The bill would set aside $500 billion over the next 10 years to “build, preserve, and rehab units that will be affordable to lower-income families.”","In June, Warren released a plan to fortify federal elections. The plan calls for modernizing election machines; blanket, federal standards including same-day registration, early voting, and vote-by-mail, rather than the current state-by-state regulations; measures to end gerrymandering; and making Election Day a national holiday.",Warren supports offering reparations to black Americans in recognition of the economic toll of slavery.
