Poll,Date,Biden,Warren,Sanders,Harris,Buttigieg,O'Rourke,Booker,Yang,Gabbard,Castro,Klobuchar,Steyer,Williamson
Politico/Morning Consult,2019-06-28,33,12,19,12,6,2,3,2,1,1,1,--,0
Economist/YouGov,2019-06-25,25,19,15,7,6,3,1,1,3,1,0,--,0
Emerson,2019-06-24,34,14,27,7,6,1,3,1,0,0,1,--,0
Politico/Morning Consult,2019-06-23,38,13,19,6,7,4,3,2,1,1,1,--,0
Economist/YouGov,2019-06-18,26,16,12,7,9,3,2,1,1,1,1,--,0
Monmouth,2019-06-17,32,15,14,8,5,3,2,2,1,0,1,--,1
The Hill/HarrisX,2019-06-15,35,7,13,5,4,6,3,0,0,2,1,--,0
Politico/Morning Consult,2019-06-16,38,11,19,7,7,4,3,1,1,1,1,--,1
USA Today/Suffolk,2019-06-15,30,10,15,8,9,2,2,1,0,1,0,--,0
FOX News,2019-06-12,32,9,13,8,8,4,3,2,1,1,2,--,0
Economist/YouGov,2019-06-11,27,16,12,7,8,3,2,1,0,1,0,--,0
Quinnipiac,2019-06-10,30,15,19,7,8,3,1,1,0,0,1,--,0
Politico/Morning Consult,2019-06-09,37,11,19,7,7,4,3,1,1,1,2,--,0
Economist/YouGov,2019-06-04,27,12,15,9,10,2,2,1,1,0,1,--,0
The Hill/HarrisX,2019-06-02,35,5,16,4,8,4,3,0,0,0,1,--,1
Politico/Morning Consult,2019-06-02,38,10,19,7,7,4,3,1,1,1,1,--,1
CNN,2019-05-31,32,7,18,8,5,5,3,1,1,2,2,--,0
Harvard-Harris,2019-05-30,36,5,17,8,5,4,3,1,0,1,0,--,0
Politico/Morning Consult,2019-05-26,38,9,20,7,7,4,3,1,1,1,1,--,1
Monmouth,2019-05-20,33,10,15,11,6,4,1,1,1,1,3,--,1
The Hill/HarrisX,2019-05-18,33,8,14,6,6,5,1,1,0,1,1,--,0
Quinnipiac,2019-05-20,35,13,16,8,5,2,3,1,1,1,2,--,0
Politico/Morning Consult,2019-05-20,39,9,19,8,6,4,3,1,1,1,1,--,0
FOX News,2019-05-14,35,9,17,5,6,4,3,1,1,2,2,--,1
Emerson,2019-05-13,33,10,25,10,8,3,1,1,1,2,1,--,0
Politico/Morning Consult,2019-05-12,39,8,19,8,6,5,3,1,1,1,2,--,--
The Hill/HarrisX,2019-05-04,46,7,14,6,8,3,3,1,1,1,0,--,1
Politico/Morning Consult,2019-05-05,40,8,19,7,6,5,3,1,1,1,2,--,--
Harvard-Harris,2019-05-01,44,5,14,9,2,3,3,0,0,0,2,--,0
Quinnipiac,2019-04-29,38,12,11,8,10,5,2,1,0,1,1,--,0
CNN,2019-04-28,39,8,15,5,7,6,2,1,2,1,2,--,1
Politico/Morning Consult,2019-04-28,36,9,22,7,8,5,3,2,1,1,2,--,--
Monmouth,2019-04-15,27,6,20,8,8,4,2,0,0,0,1,--,0
Politico/Morning Consult,2019-04-21,30,7,24,8,9,6,4,2,1,1,2,--,--
Emerson,2019-04-14,24,7,29,8,9,8,2,3,1,3,1,--,0
Politico/Morning Consult,2019-04-14,31,7,23,9,7,8,4,1,1,1,2,--,--
Politico/Morning Consult,2019-04-07,32,7,23,9,5,8,4,1,1,1,2,--,--
The Hill/HarrisX,2019-04-06,36,6,19,9,4,7,6,1,0,1,2,--,--
Politico/Morning Consult,2019-03-31,33,7,25,8,3,8,4,--,1,1,2,--,--
Quinnipiac,2019-03-25,29,4,19,8,4,12,2,0,0,1,2,--,0
Harvard-Harris,2019-03-26,35,6,17,5,2,7,4,1,2,1,2,--,--
Harvard-Harris,2019-03-26,26,5,18,11,2,5,3,2,0,1,1,--,--
Politico/Morning Consult,2019-03-24,35,7,25,8,2,8,4,--,1,1,2,--,--
FOX News,2019-03-20,31,4,23,8,1,8,4,1,0,1,1,--,--
Emerson,2019-03-18,26,8,26,12,3,11,3,1,1,1,1,--,--
CNN,2019-03-17,28,6,20,12,1,11,3,--,0,1,3,--,--
Politico/Morning Consult,2019-03-17,35,7,27,8,1,8,4,--,1,1,2,--,--
Politico/Morning Consult,2019-03-10,31,7,27,10,1,7,4,--,1,1,3,--,--
Monmouth,2019-03-04,28,8,25,10,0,6,5,1,0,1,3,--,0
Politico/Morning Consult,2019-03-03,31,7,27,11,1,6,4,--,1,1,3,--,--
Harvard-Harris,2019-02-20,37,4,22,10,--,6,2,--,1,2,--,--,--
Harvard-Harris,2019-02-20,30,4,19,10,--,4,5,--,0,0,--,--,--
Politico/Morning Consult,2019-02-24,29,7,27,10,1,7,4,--,1,1,3,--,--
Politico/Morning Consult,2019-02-17,30,8,21,11,0,7,5,--,1,1,4,--,--
Emerson,2019-02-16,27,9,17,15,0,4,9,--,2,1,5,--,--
Politico/Morning Consult,2019-02-10,29,8,22,13,--,7,5,--,1,1,3,--,--
Monmouth,2019-01-27,29,8,16,11,0,7,4,--,1,1,2,--,--
Politico/Morning Consult,2019-01-27,33,6,15,10,--,6,3,--,0,1,1,--,--
Politico/Morning Consult,2019-01-22,26,6,16,9,--,6,4,--,--,2,2,--,--
Emerson*,2019-01-21,45,3,5,3,--,3,8,--,2,8,1,--,--
Harvard-Harris,2019-01-16,23,4,21,7,--,8,3,--,2,1,--,--,--
Harvard-Harris,2019-01-16,24,5,13,4,--,9,2,--,1,2,--,--,--
Politico/Morning Consult,2019-01-14,32,9,15,6,--,8,2,--,--,0,1,--,--
Politico/Morning Consult,2019-01-06,27,4,16,3,--,7,3,--,--,0,2,--,--
Politico/Morning Consult,2019-12-16,25,3,15,3,--,8,3,--,--,1,1,--,--
CNN,2019-12-09,30,3,14,4,--,9,5,--,--,--,--,--,--
Emerson,2019-12-09,26,7,22,9,--,--,--,--,--,--,--,--,--
Harvard-Harris,2019-11-26,28,5,21,3,--,7,4,--,--,--,--,--,--
Harvard-Harris,2019-11-26,25,4,15,2,--,9,3,--,--,--,--,--,--
Politico/Morning Consult,2019-11-09,26,5,19,4,--,8,3,--,--,1,1,--,--
CNN,2019-10-07,33,8,13,9,--,4,5,--,--,--,1,--,--
